"","business_id","name","city","state","stars","review_count","categories","business_group"
"4607","b_4746","Butler-Payne","Bradleyport","NM",1.8,375,"blue","B"
"10593","b_10910","Peck, Williamson and Stevens","Hamiltonfurt","GA",1,60,"wrong, as, more","A"
"16927","b_17433","Bennett Inc","East Christopherburgh","OK",1.1,79,"home, let, do","A"
"10379","b_10693","Yoder Group","East Michaelmouth","NH",1.8,70,"measure, compare","A"
"15459","b_15928","Griffin, Carter and Duke","Edwardsview","MI",2.3,385,"consider","A"
"12071","b_12432","Gonzalez and Sons","Melanieshire","MA",4.5,459,"perhaps, across, charge","B"
"659","b_684","Wilson-Brown","Ramirezton","CO",4.7,15,"consider, performance","B"
"7982","b_8219","Rose, Simmons and Kelley","Williamsfurt","CA",3.9,158,"now","A"
"5254","b_5412","Bell, Clarke and Keller","Joannmouth","ME",3.9,490,"cost, stop, magazine","B"
"15940","b_16420","Garza, Lopez and Todd","Rodriguezshire","",3.7,328,"scientist","B"
"10586","b_10903","Williams Inc","Michaelborough","NY",3.6,276,"unit, forget",""
"14957","b_15412","Ramirez-Singleton","Ericmouth","MA",4.5,58,"purpose, blue","B"
"18733","b_19303","Ward-Conrad","Jonesville","TX",2,359,"before","B"
"15050","b_15507","Weaver Group","Shepherdton","CA",2.5,52,"arm, room","B"
"7981","b_8218","Barker-Hunt","Rileyborough","TN",2.2,462,"history, plant","B"
"1919","b_1983","Cardenas-Howard","Burnettberg","IA",2.9,465,"project","A"
"783","b_811","Wright-Gibson","Willieview","NC",4.4,420,"everything","B"
"3475","b_3585","Hart, Gallagher and Lee","East Tracyhaven","TN",2.3,152,"what",""
"10550","b_10866","Moreno Ltd","Joshuatown","WY",1.2,104,"fall, pattern, worry","A"
"7642","b_7872","Bush Inc","Lake Reginald","NY",4.8,348,"care","B"
"7752","b_7985","Adams, Jones and Wolfe","New Hollyton","WA",4.1,251,"sound","B"
"5097","b_5251","Jones, Phillips and Phillips","Paulhaven","TN",4.9,410,"lay","A"
"11752","b_12100","Padilla LLC","North Linda","NY",2.6,118,"choice, within, best","B"
"14446","b_14887","Moore Inc","New James","FL",1.3,485,"question, painting, grow","B"
"13023","b_13413","Choi, Watts and Rose","Kelleystad","RI",1.6,313,"into","B"
"1636","b_1691","Dougherty Group","Lake Nathan","TX",3,136,"wall, somebody","B"
"18990","b_19572","Fernandez, Reeves and Calhoun","Dominguezhaven","FL",4.4,212,"rate","B"
"5360","b_5524","Lewis, Parker and Newton","Calhounmouth","MA",3.1,28,"sure, organization","A"
"18180","b_18733","Shea, Stokes and Hughes","New Colleenland","SC",4.7,257,"chair, skill",""
"16156","b_16641","Grant Ltd","Port Christinastad","IA",2.2,412,"thing, run, interest","B"
"2137","b_2206","Russell, Graham and Murphy","","AZ",2.1,237,"meet, fire","A"
"17997","b_18545","Juarez, Reyes and Williams","Robertstown","SC",3.7,90,"quickly, compare","B"
"10391","b_10705","Collins Ltd","North Amber","LA",3.4,237,"strategy","A"
"10137","b_10442","Harrison-Robinson","Middletonburgh","OK",4.4,261,"number, strategy","A"
"18817","b_19392","Knight-Rodriguez","Lake John","RI",1.5,30,"teach, choose, particular","B"
"19193","b_19782","Hoffman-Gross","West Amanda","HI",2.1,200,"type, impact","B"
"7078","b_7289","Rogers and Sons","Jessicafort","WA",4.4,133,"model","A"
"10287","b_10595","Smith-Gonzalez","Calhounmouth","NC",3.8,372,"much, ready","B"
"15058","b_15515","Hicks Group","West Nancy","AZ",1.3,380,"meet, account","B"
"9104","b_9378","Rodriguez-Stewart","New Christopher","WI",4.5,432,"then","B"
"14558","b_15001","Wilson-Schneider","Lake Tonychester","AK",4,355,"school, other, society","B"
"18131","b_18683","Edwards-Montes","Bellhaven","IA",1.4,198,"make","A"
"13009","b_13398","Hughes-Reed","Rickland","AL",1.2,167,"air","A"
"13547","b_13960","Hall, Nichols and Butler","South Justin","",2.1,275,"thought, none","A"
"10039","b_10343","Reid, Jones and Farley","East Jim","NV",3.8,336,"think","A"
"1156","b_1197","Wise-Long","Brittanychester","AL",4.9,216,"likely","B"
"10388","b_10702","","West Alisonberg","AK",1.7,104,"science, center, course","A"
"2594","b_2673","Mcdaniel, Jordan and Carey","North Mark","VT",1.8,231,"after","B"
"514","b_532","Estrada-Thomas","Cruzfurt","AK",5,476,"never","B"
"15260","b_15722","Mitchell-Thompson","Duranshire","DE",4.1,363,"common, seek, forget","B"
"102","b_106","Herrera-Robinson","South Victoria","VT",2.6,93,"another","A"
"14160","b_14596","Brown-Holloway","Jamesborough","WV",4.7,20,"stay, work, lay","A"
"11716","b_12063","Foster, Burgess and Rice","Lake Ashleymouth","MN",3.6,397,"particularly, everybody, themselves","B"
"17918","b_18463","Smith, Hutchinson and Adams","Elizabethville","AK",1.5,485,"first, state, push","A"
"439","b_453","Fitzgerald-Sanchez","Petersonborough","IN",4.6,20,"south, trade, major","B"
"10877","b_11200","Herrera-Rodriguez","Port Jennifer","MN",1.9,421,"knowledge, ahead, world","B"
"12364","b_12728","Hamilton Group","Garystad","AL",3.3,447,"still","A"
"3000","b_3097","Proctor-Thompson","West Amandamouth","VA",1.4,78,"call, any, television","A"
"6258","b_6437","Lewis, Strickland and Navarro","South Robert","NY",1.5,384,"be, film","B"
"18250","b_18803","Harper-Hobbs","North Justin","VT",2.7,51,"above","A"
"17912","b_18457","Mcguire, Schneider and Bryant","Savannahton","KS",3.6,190,"especially","B"
"14528","b_14970","Griffin PLC","West Sarahborough","PA",5,257,"sing","A"
"4657","b_4797","Shah, Griffith and Barrera","Bakerport","IA",4.1,146,"popular, population","B"
"15898","b_16378","Barrett, Johnson and Bailey","","DE",3.1,422,"role","A"
"17019","b_17529","Jennings, Patel and Roberts","Mataborough","OR",3,180,"station, hit","B"
"13031","b_13421","Jones Ltd","South Matthewport","NM",1.9,434,"under, purpose","B"
"7810","b_8044","Weaver-Montes","Peterfurt","HI",2.8,456,"despite, senior, over","B"
"10468","b_10784","Brennan PLC","West Garyton","WV",3.9,478,"nearly, worry","B"
"15920","b_16400","Perkins, Garcia and Smith","Fernandezport","AK",3.3,314,"low","B"
"5078","b_5232","Garrison LLC","North Ianfort","FL",3.8,287,"list, game, with","B"
"18726","b_19296","Nicholson-Strickland","Santanaburgh","MN",3,34,"team, agree, goal","B"
"16397","b_16886","Fields-Boyle","Port Ashleymouth","IL",4.9,253,"film, responsibility","B"
"16522","b_17015","Armstrong Group","Alvarezland","KY",4.9,118,"state, imagine, strategy","B"
"10543","b_10859","Jordan-Grant","New Nicole","DE",3.4,420,"look, soldier, check","A"
"11994","b_12355","Johnson LLC","West Robertview","CA",1.8,123,"including, short","B"
"18818","b_19393","Obrien Group","Larryview","",3.4,111,"defense","B"
"7523","b_7747","Thompson Group","Lindaburgh","CT",4,38,"","A"
"2352","b_2425","Mullins, Vance and Powers","","VT",4.6,68,"reduce, picture","B"
"10650","b_10969","Horn, Adams and Williams","Chelseymouth","NV",1.8,155,"recent, professor, third","A"
"12737","b_13113","Bell Group","West Jennifer","WY",2.7,126,"apply","A"
"12234","b_12597","Mccarty, Garza and Williams","Fieldschester","ID",2.8,56,"debate","B"
"2579","b_2658","Guerrero and Sons","Katelynberg","OR",1.8,282,"wrong, attorney, hot","A"
"18913","b_19493","Patton, Potts and Elliott","Lake Leslie","UT",2.3,68,"next","A"
"6873","b_7074","Hutchinson, Orozco and Grimes","Lake John","NE",3,131,"open, let, campaign","B"
"17344","b_17873","Bryant and Sons","Port Timothy","GA",2.1,382,"Mr, person, individual","A"
"12073","b_12435","Robinson-Carter","Port Lauratown","MS",4.8,273,"activity, attorney, executive","B"
"5391","b_5556","Byrd Group","Patriciachester","MD",1.5,127,"tree","B"
"18836","b_19413","Brown LLC","Williamsside","HI",2.5,210,"success, next, idea","A"
"14757","b_15205","Estrada Ltd","West Denise","HI",2.6,167,"ask, statement","B"
"892","b_923","May, Russell and Mitchell","Fowlerhaven","LA",4.2,319,"themselves, eye, little","B"
"5352","b_5516","Mckay, Gentry and Brown","Jessicamouth","OK",4.2,375,"cultural","B"
"288","b_298","Smith, Day and Huff","North Rebecca","RI",3.5,261,"feeling, real","A"
"13373","b_13776","Martinez and Sons","Tateton","MO",2.6,94,"difficult","B"
"1721","b_1779","Harmon Inc","West Megan","MD",4.4,217,"list, to, city","B"
"3543","b_3655","Flynn-Potter","Bryanchester","NY",1.8,169,"station, political, organization","B"
"18358","b_18914","Davis, Powers and Walters","Wolftown","MN",3.8,205,"space","B"
"6388","b_6570","Booker-Armstrong","Maureenstad","OH",3.2,243,"American, half","B"
"12400","b_12766","Hill-Bennett","West Ronaldfort","VT",3.5,30,"shake, prove","B"
"17392","b_17922","Larson-Ray","Hancockchester","MA",3.2,293,"day","B"
"12159","b_12522","Roman-Boone","Smithbury","KY",3.6,127,"senior","B"
"12186","b_12549","Stafford, Stevens and Rollins","North Tracy","MS",4.4,291,"better, machine","B"
"5673","b_5844","Pineda-Scott","North Donnachester","LA",4.5,385,"young, house, off","B"
"7623","b_7853","Smith Ltd","New Anna","DC",2.2,447,"truth","B"
"2012","b_2078","Fisher Group","South Sharon","NV",4.9,216,"imagine","A"
"11282","b_11618","Stokes, Jackson and Cook","Allisonville","DE",4.7,228,"employee, develop","B"
"19229","b_19818","Johnson Group","New Pamela","PA",2.4,137,"drive, program, choice","B"
"13406","b_13811","Mcneil Inc","Lake Brianshire","GA",1,83,"defense, site, focus","B"
"985","b_1018","Graves, Jensen and Morgan","North Pamelaburgh","WY",4.7,216,"however, right, defense","A"
"10786","b_11108","Lester, Jimenez and Webb","North Crystalmouth","AL",2.2,485,"be, them, stock",""
"4243","b_4371","Carter PLC","Danielberg","WV",2.5,307,"him","A"
"6468","b_6655","Walker-Solis","Simpsonport","CT",2.7,159,"film","A"
"2743","b_2828","Jones, Lang and Martin","West Lisamouth","OH",2.7,186,"story, attack, sell","A"
"17041","b_17555","Smith, Roth and Pierce","Jessicabury","TX",2,282,"seem, exactly, safe","B"
"18928","b_19508","Levine, Morales and Ibarra","Alyssaside","SC",4.9,438,"trade, property","A"
"4000","b_4122","West, Spencer and Martin","Lake Bradleyhaven","MS",3.8,300,"service","A"
"16607","b_17104","Moore, Liu and Parker","Randyton","NC",1.3,63,"source, notice","A"
"2054","b_2122","Reeves PLC","Adamland","LA",4.9,445,"","B"
"4665","b_4805","Reed-Anderson","Lake Timothy","SD",3.2,195,"expect, probably","B"
"11339","b_11676","Shaw, Bowen and Mckenzie","Lisamouth","NY",2.2,472,"keep, will","B"
"2448","b_2522","Wagner Group","East Robertfort","FL",2.2,62,"institution, money","B"
"18129","b_18681","Jones Inc","Scottview","SD",3.9,49,"region","B"
"12891","b_13275","Fisher, Davis and Johnson","East Zachary","CO",2.3,209,"water","A"
"15394","b_15858","Terrell-Torres","New Danielland","ND",1.1,497,"main, stay, Mr","A"
"12054","b_12415","Carrillo-Wiley","Kristaton","NH",1.4,375,"then, hard","B"
"5146","b_5301","Robinson, Brown and Haas","Alvarezberg","AZ",1,132,"forget, husband, summer","B"
"14497","b_14939","Johnson, Heath and Black","Walterborough","SC",4,230,"finish","A"
"11089","b_11420","Wells, Rodriguez and Garcia","West Jasonberg","WA",3.8,25,"detail, you, lot","A"
"5855","b_6030","Lin Group","Port Jeffrey","IA",3.5,326,"and","B"
"9139","b_9415","Franklin-Taylor","Lake James","NY",1.3,351,"how, executive, message","B"
"12715","b_13090","Scott-Friedman","West Tyler","RI",1.8,486,"call","B"
"4315","b_4445","Arnold-Salazar","Michaelberg","FL",4.9,253,"use","A"
"18974","b_19554","Bush, Spencer and Price","South David","MT",4.7,458,"sit, down","B"
"6646","b_6838","Robbins-Scott","Timothymouth","HI",1.6,491,"Congress, population","A"
"17668","b_18203","Powers-Hendricks","North Anthony","AZ",4.3,485,"region, play","A"
"9188","b_9466","Blake, Peck and Terry","Lisaville","NV",4.7,357,"federal, dream, stage","B"
"8763","b_9026","Garcia, Wolfe and Walls","North Michael","",3.3,46,"new","B"
"8141","b_8384","Lee-Mcintosh","Lake Gregory","OH",2,484,"sense","B"
"6236","b_6415","Martinez Group","Lindaport","NY",2.7,15,"along, determine, meet","B"
"5311","b_5473","Powell Inc","Savageberg","DE",3.8,70,"attorney, according, whom","A"
"12272","b_12635","Coleman Inc","Jonestown","HI",1.9,93,"cover, take, college","B"
"6564","b_6754","Shea Inc","North Jason","NJ",1,186,"yes, career, Congress","A"
"15403","b_15868","Green-Hernandez","Hayneston","CA",4.5,358,"quality, director, strong","B"
"18948","b_19528","Santiago, Simmons and Johnson","Margaretshire","PA",4.7,231,"challenge, room, travel","A"
"3774","b_3891","Zhang-Foster","Keithberg","WA",3.1,456,"water, bring","A"
"7026","b_7235","Warren-Brown","Tiffanyborough","HI",2.9,203,"",""
"7787","b_8020","Murphy-Parker","North Amanda","NC",3,36,"role","B"
"11606","b_11951","Gordon-Brown","Zacharyshire","CO",1.5,43,"become, else","A"
"12665","b_13040","","Heatherborough","AZ",2.7,56,"long, support, yourself","A"
"17192","b_17709","Thompson, Higgins and Miller","Port Victoria","NM",1.4,60,"day, teach, chair","A"
"1218","b_1261","Sanders, Hamilton and Ortiz","Richardmouth","KY",4.2,35,"language, store, drug","B"
"12695","b_13070","Franklin-Valdez","Dixonborough","AZ",2.6,358,"board, quality, small","B"
"2704","b_2786","Fuller, Bass and Wiley","East Glenn","TX",4.8,462,"director, page, bad","B"
"4177","b_4305","Garcia-Stephenson","Stacyfort","SC",1.3,182,"up, but","A"
"6636","b_6828","Martinez, Allison and Escobar","Port Danielstad","AL",3.7,326,"religious","A"
"15126","b_15583","Hoffman LLC","Donnaside","NY",3.2,99,"","A"
"9248","b_9526","Taylor-Reese","Adamfort","CT",4.6,151,"serve","A"
"5111","b_5265","Hall-Zamora","Freemanhaven","WY",3.1,456,"any, blood, south","A"
"2733","b_2817","Obrien LLC","North Jeffreyshire","NJ",1,403,"this, low","B"
"3129","b_3227","Chan-Ray","Port Michelleborough","VA",2.4,434,"need, million","B"
"4568","b_4706","Perry-Grant","West Erika","NE",4.1,474,"protect","B"
"1880","b_1943","Morrow-Holmes","Lake Tinaton","SD",3.8,271,"hospital, partner","B"
"12921","b_13307","Reyes Group","West Christinaborough","MI",4.7,332,"something","B"
"2241","b_2311","Bird-Smith","Carlsontown","WV",4.5,297,"sign","A"
"2043","b_2110","Saunders-Massey","New Scottland","MT",1.6,462,"leave, key","A"
"16179","b_16664","Johns, Walker and Ingram","West Jeremystad","KY",1.9,52,"many","A"
"17655","b_18190","Barrett-Griffin","Lake Norma","VT",2.5,188,"the, suffer, fine","A"
"13838","b_14266","Summers, Taylor and Bowers","Port Danny","FL",4.8,416,"indeed","B"
"18539","b_19101","Edwards-Maxwell","New Monique","MI",1.6,440,"almost, important, range","B"
"4601","b_4740","Hernandez-Ellis","South Jacobtown","TN",3.9,460,"recent, whose","B"
"3030","b_3127","Porter, King and Hill","Port Craig","MO",1.3,321,"central, summer, many",""
"14344","b_14784","Gonzalez, Jacobs and Graham","North Cameron","NV",2.8,426,"bar, national, bar","A"
"19233","b_19822","Kirk-Rodriguez","Zacharyborough","AZ",4.8,471,"lay, time, training","A"
"14605","b_15048","Thompson and Sons","Mooreshire","ND",2.4,127,"floor, effect, show","A"
"19274","b_19865","Dixon Ltd","New Barbara","CA",3.9,395,"natural, along, itself","B"
"12576","b_12949","Newton-Johnson","Reneefort","HI",1.3,257,"position","A"
"9251","b_9530","Murray LLC","Lake Courtney","ND",1.3,47,"air, none","A"
"14142","b_14578","Simpson and Sons","Port Travis","",1.6,14,"too, forget, between","B"
"4790","b_4936","","New Amanda","CA",4.6,310,"hour, choose","A"
"9764","b_10057","Watson-Lopez","Timothyview","VA",4.1,18,"drive, sell","A"
"7518","b_7742","Walker, Hill and Carney","Port Ericborough","IN",3.9,313,"life","A"
"2262","b_2332","Mcguire-Franco","East Drew","IN",3.4,248,"process, by, face","B"
"2749","b_2834","Smith-Jones","Mirandahaven","NM",2.6,259,"network, black","B"
"4299","b_4428","Irwin, Mccoy and Thornton","Richardside","TN",1.7,342,"the, here","A"
"17425","b_17956","Martinez-Smith","Sandershaven","WV",2.3,238,"customer, even, glass","A"
"756","b_783","Martin Group","Sullivanborough","AR",2.4,12,"sometimes","B"
"5796","b_5969","Harper-Richardson","Whiteshire","ME",4.3,99,"feel, right, vote","A"
"6299","b_6479","Tapia, Miller and Howard","Kellyview","NV",1.5,159,"TV","B"
"11950","b_12305","Parsons-Hill","New Larry","IA",2.1,310,"responsibility, call, doctor","B"
"466","b_481","Evans Inc","North Tylershire","MT",3.8,37,"rise, week","B"
"17949","b_18494","Stout, Robertson and Kane","East Gregoryland","CT",3.1,466,"","A"
"1590","b_1642","Cordova, Howe and Fleming","","NE",3.1,53,"choice","B"
"1847","b_1910","Goodman Inc","East Codyburgh","AL",2.2,67,"especially","B"
"15775","b_16251","Turner Inc","Davisfort","UT",2.6,182,"ball, concern","A"
"11583","b_11927","Howard-Peterson","New Clinton","AR",1.1,172,"structure, author","B"
"1759","b_1819","Thomas-Walker","South Brian","VA",2.5,267,"one, reduce","B"
"15195","b_15653","Parker PLC","Lake Blake","WV",2,61,"up","A"
"7597","b_7826","Wolfe Ltd","Warnerburgh","IA",4.8,36,"dream","A"
"7530","b_7754","Greene, Flores and Vega","Gregorybury","AL",2,382,"kid, tree","B"
"19035","b_19617","Perez, Mccormick and Estrada","Joannshire","SD",2.2,118,"body, today, adult","B"
"14428","b_14869","Williams Inc","Evanschester","NM",2.7,347,"join, some","B"
"16176","b_16661","Kramer, Medina and Thompson","Michellefurt","NC",1.6,246,"color, air","B"
"2248","b_2318","Sanders Ltd","West Stephanie","SD",2.7,358,"house","A"
"7477","b_7698","Rivera-Harrell","Colleenbury","ND",2.4,286,"bag",""
"3834","b_3953","Carter and Sons","Lake Christina","NY",1.5,391,"pass","A"
"15979","b_16459","Abbott and Sons","","ND",3.7,460,"cell, dinner, town","A"
"19095","b_19680","Stephens-Morris","Hillfort","NE",4.4,427,"such","A"
"13870","b_14298","Larsen, Lewis and Delacruz","East Josephside","NC",3,467,"after, that, economic","A"
"14469","b_14911","Stevenson, Nguyen and Le","Sandraside","RI",3.2,160,"example, even, seek","B"
"6766","b_6962","Simpson-Warren","Russellborough","LA",4.8,152,"wrong","B"
"8112","b_8354","Rodriguez, Clark and Foster","New Jonathan","DC",1.8,462,"pretty, about","A"
"9215","b_9493","","Lake James","ND",1.7,437,"prevent, western","A"
"5695","b_5867","Wilcox-Moore","East Tabithabury","ND",1.9,475,"","B"
"10881","b_11204","Guzman Group","South Stephanieberg","NH",4.6,41,"phone","A"
"3596","b_3711","Lynch, Davidson and Martin","Port Lydia","NH",3.9,440,"message, remain, class","A"
"16845","b_17349","Mccall-Rosario","Port Eric","DC",1.5,40,"recent, recently","A"
"7128","b_7339","Ayers-Clark","New Christina","IL",3.1,124,"enjoy, nice, dinner","B"
"6924","b_7127","","New Alexanderfurt","WA",2.1,229,"response, actually, consider","B"
"3739","b_3856","Barnett, Perez and Gibbs","Lake Charles","MS",2.4,288,"small, relate, personal","A"
"19314","b_19906","Johnson, Ellis and Taylor","","DE",2.3,215,"save, national, into","A"
"18759","b_19331","Johnson, Campbell and Bryant","Reedton","FL",4.4,321,"me","B"
"5370","b_5534","Hill-Adams","New Crystalhaven","MT",1.7,379,"free","A"
"9476","b_9762","Brown-Rivas","Ashleybury","OK",4.9,272,"hand, phone","B"
"10951","b_11277","Smith, Brock and Anderson","Crystaltown","WI",3.4,195,"second, pick, door",""
"7743","b_7976","Dennis-Rosario","South Ashley","MD",4.7,23,"keep","B"
"4695","b_4837","Reed, Mcdaniel and Jones","New Donaldmouth","MI",2.7,391,"threat, seven",""
"5061","b_5215","Hines LLC","South Ariel","AK",3.4,435,"worker","B"
"8369","b_8616","Brooks and Sons","East Jessicaburgh","KS",4.8,497,"","B"
"6647","b_6839","Berg PLC","Ryanland","WA",4.9,47,"her, appear, mean","B"
"351","b_362","Woodward LLC","Vincenthaven","MS",2.8,478,"bank, conference, have","B"
