"","business_id","name","city","state","stars","review_count","categories","business_group"
"66","b_68","Peterson-Rosales","Millershire","LA",1.3,114,"appear","B"
"67","b_69","Evans-Crawford","New Davidville","MA",4.9,395,"activity, relationship, land","A"
"68","b_70","Gibbs, Schmidt and Newman","Haasshire","AK",4.1,357,"they","A"
"69","b_71","Cervantes, Rodriguez and Walters","Kelleyside","DC",1.8,361,"wonder, crime","A"
"72","b_74","Beck-Jennings","West Emily","ND",3.8,25,"program","B"
"73","b_76","Bell and Sons","South Vanessaville","MO",4.1,159,"wind, likely","B"
"74","b_77","Hines-Robertson","South Jessicafurt","OR",1.3,151,"audience, fear","B"
"78","b_81","Rivera-Martin","West Christine","AL",3.5,438,"each, support","B"
"80","b_83","Porter Ltd","Flowersbury","MN",1.3,203,"","B"
"81","b_84","Moss, Martinez and Gardner","Olsonmouth","WA",2.2,351,"forward, try, off","B"
"82","b_85","Adams, Hernandez and Snyder","Stanleyburgh","WA",2.3,439,"commercial, successful","B"
"83","b_86","Mitchell-Compton","Lake Brandy","AK",3.9,170,"stock, police, sport","A"
"86","b_89","Lewis-Mendoza","North Matthewfurt","WY",2.9,370,"thought","B"
"87","b_90","Hood and Sons","East Zacharyberg","OR",1.5,287,"ten, write, before","A"
"88","b_91","Porter, Wilson and Anderson","North Krystalborough","AZ",3.9,305,"kid, ready, president","B"
"92","b_96","","Riosfurt","MS",3.1,77,"clearly","B"
"93","b_97","Rangel-Hardy","Travisburgh","MS",2.7,16,"sell, various","B"
"94","b_98","Wright-Stone","Brianmouth","ID",1.1,94,"floor, available","A"
"95","b_99","","Lake Heather","MD",1.4,208,"compare, check","B"
"96","b_100","Patterson-Neal","East Erichaven","VA",1.1,141,"authority, report, key","A"
"97","b_101","Elliott PLC","Wagnerhaven","UT",3.5,85,"alone, important, laugh",""
"99","b_103","Black LLC","Reynoldsberg","UT",3,356,"","A"
"100","b_104","Jackson, Hunt and Bradley","East Melindachester","CO",4.6,452,"mother, debate, campaign","B"
"104","b_108","Becker Ltd","North Sarahfort","WY",1.9,262,"kid","A"
"105","b_109","Greene, Garcia and Melton","Sabrinaland","ME",1.3,419,"moment, put","B"
"106","b_110","Barajas-Johnston","Nicolechester","ME",2.2,40,"allow, executive","A"
"107","b_111","Martinez, Brown and Jenkins","Thompsonchester","ND",1.6,364,"appear, indeed","A"
"108","b_112","Larson-Cox","West Abigailport","RI",4.7,210,"middle",""
"109","b_113","Hunter, Kelly and Valentine","Matthewtown","WA",4.2,462,"stock","B"
"110","b_114","Perry, Mckenzie and Villegas","Jonathanstad","SC",3.5,61,"visit, last, until","B"
"112","b_116","Munoz-Gonzalez","New Territown","PA",4.2,81,"evidence, yes","A"
"113","b_117","Rogers, Hill and Shaw","Christopherview","IA",1.7,30,"officer","A"
"116","b_120","Weeks-Newton","Port Cameron","DE",4.2,25,"ready, not","B"
"119","b_123","Wilson and Sons","Smithmouth","VA",1.4,321,"small","A"
"120","b_124","Nelson, Tran and Jordan","New Robin","HI",1.9,421,"item, while","A"
"121","b_125","Harrington-York","West Nicoleshire","FL",2.7,347,"most","B"
"122","b_126","Dillon-Page","Wrightmouth","OK",4.3,87,"between","B"
"124","b_128","Fleming LLC","Jeremychester","AL",1,249,"sense, impact, blue","A"
"125","b_129","Martinez, Nguyen and Greene","New Frankton","SD",3,46,"respond, from, safe","A"
"128","b_132","Sanchez-Anderson","Matthewport","MO",1.5,222,"energy, national, stuff","A"
"129","b_133","Hammond LLC","North Jared","IA",2.4,202,"my, baby","A"
"131","b_135","Brooks-Howell","Lake Lisa","KY",2.3,198,"another, exist","A"
"134","b_138","Parks LLC","South Patriciabury","RI",2.5,212,"various","B"
"135","b_139","Huerta-Johnson","East Rebekah","NC",4.9,331,"house, line, kitchen","B"
"136","b_140","Rogers PLC","Port Lisaberg","ME",4.8,391,"performance, sister","B"
"137","b_141","Alvarez Inc","South Amanda","IA",2,41,"direction","A"
"139","b_145","Johnston, Wilson and Johnson","Sethborough","HI",1.1,396,"analysis, others, sound","A"
"140","b_146","Hall, Williams and Strickland","North Kenneth","NV",3.4,421,"race","A"
"141","b_147","Atkinson PLC","South Brandonchester","VT",3,355,"population, share, whose","A"
"142","b_148","Foley, Lynch and Mcgee","Christinaburgh","AZ",1.2,480,"issue, however","B"
"144","b_150","Henry Ltd","Evanton","SC",4.6,337,"allow","A"
"145","b_151","Rivera-Payne","Angelshire","OH",2,109,"piece, show","A"
"146","b_152","Willis-Long","Wendyberg","MD",1.6,294,"significant, pass",""
"148","b_154","Johnston-Lloyd","Port Allen","NC",4.9,324,"situation, win","B"
"149","b_155","Davis-Torres","Bryanburgh","AR",2,34,"old, either, entire","A"
"150","b_156","Reed, Brown and Miles","Morrisport","NJ",3.7,415,"station, various","B"
"152","b_158","Osborne-Parker","Crystalberg","WA",2,366,"against","A"
"153","b_159","Buchanan, Williams and Johnson","West Pamela","MO",3.9,126,"series, plan, unit","B"
"158","b_164","Fowler-Pena","Brandychester","AZ",1.4,88,"open, simple","A"
"159","b_165","Garrison-Medina","Lake Jeremyshire","TX",4.3,433,"including, store, perform","A"
"160","b_166","Gibson-Schwartz","New Robinfurt","KS",2.3,363,"decade, once","A"
"161","b_167","Weber, Smith and Sanders","New Joanna","AK",1.7,23,"sport","B"
"162","b_168","Davis, Gutierrez and Peterson","Austinport","OH",1.2,38,"probably, protect","A"
"166","b_172","Maxwell, Fields and Watson","Lake Jesse","AK",3,19,"order","A"
"168","b_174","Yates-Gonzalez","Lopezport","CT",3.6,269,"west, choice, next","B"
"169","b_175","Mendoza and Sons","West Brian","OH",1.7,21,"lose, break","B"
"173","b_179","Mccullough-Oneal","South Michaelton","",1.6,93,"less","B"
"174","b_180","Joyce-Buckley","Port Dana","AK",2.4,357,"today, feeling, series","A"
"175","b_181","Smith-Garcia","Beckyside","TX",1.5,357,"do, service","A"
"178","b_184","Garrett-Best","West Ryan","WY",2,256,"factor, executive, sort","A"
"179","b_185","Simmons LLC","Lake Joseph","CA",3.6,44,"out","B"
"181","b_187","Brewer-James","","MI",3.2,451,"contain, building","A"
"183","b_189","Page-Williams","North Meredithfurt","ME",2,156,"investment, industry, music","B"
"184","b_190","Hall-Ponce","Maryfurt","KS",1.4,66,"but, need, nothing","B"
"185","b_191","Gray, Smith and Reid","Lake Jessicaton","TN",4.6,202,"be","B"
"186","b_192","Gould-Miller","Port Ronaldton","CO",4.6,22,"paper, bag, either","A"
"188","b_194","Ryan-Scott","North Daniel","FL",2.4,27,"brother, statement",""
"189","b_195","Cordova Inc","Joshuatown","AK",2.4,255,"our","A"
"190","b_196","Washington-Calderon","Joshuabury","ID",3.9,172,"stock","A"
"191","b_197","Wilson-Curry","Dannyville","SD",4.6,352,"dream, because","B"
"192","b_198","","East Dominic","RI",4.5,123,"ground, occur","B"
"193","b_199","Rogers, Robinson and Edwards","Sweeneystad","VA",4.1,291,"radio","B"
"194","b_200","May-Mason","Port Roberttown","WA",3.6,242,"all","B"
"202","b_208","Roberts, Drake and Ramirez","Halemouth","AZ",1,290,"shake, store, result","B"
"204","b_210","Compton, Huffman and Cross","Dorisbury","NC",3.2,475,"enjoy","B"
"205","b_211","Mckee and Sons","West Edwardborough","KY",3.8,400,"partner, result, media","B"
"206","b_212","Moore-Clay","New Theresa","WY",3.6,292,"learn, song","A"
"207","b_213","Ortiz PLC","North Phillipstad","HI",1.9,148,"security, behavior, figure","A"
"208","b_214","Brock LLC","Whiteview","TN",3.8,110,"kid","B"
"209","b_215","Johnson, Barrett and Washington","Johnstad","CA",1.9,401,"offer, present","B"
"210","b_216","Vega LLC","East Angela","NM",2.3,20,"protect, condition, will","B"
"211","b_217","Smith, Williams and Moore","Madisonberg","IA",4,391,"create, evening, science","A"
"216","b_222","Sanchez, Orozco and Walker","Markchester","MT",1.4,280,"course, account, instead","B"
"217","b_223","Johnson, Green and Garrett","Burkebury","CA",2.5,449,"form","B"
"219","b_225","Leblanc, Young and Price","Lisashire","KY",2,48,"","B"
"220","b_226","Hamilton Inc","West Meganbury","MO",4.9,33,"radio, either","A"
"221","b_227","Barrera-Thompson","East Vincentland","SC",2.6,273,"hundred, official, down","B"
"222","b_228","Burns, Long and Whitney","East Derekchester","NJ",4.6,52,"federal, arm, finally","B"
"223","b_229","Mccoy-Prince","New Marcusfurt","LA",3.5,179,"assume, way","A"
"224","b_230","Perez, Brooks and Lowery","Brittanyfurt","NE",4.2,349,"he, wrong","B"
"225","b_231","Conrad-Navarro","Robinsonfort","NY",3,178,"source, arrive, direction","B"
"226","b_232","Anderson PLC","Russofort","IN",3.3,312,"create, dog","B"
"227","b_233","Doyle, Miller and Freeman","Millershire","TX",3,35,"learn","A"
"228","b_234","Newman, Allen and Gregory","Jamesburgh","HI",1.8,189,"finally","B"
"234","b_240","Fisher, Miles and Owen","Port Stephaniehaven","WV",4.8,110,"pretty, music, international","B"
"236","b_242","Barker, Smith and White","North Connor","HI",4.7,102,"season, stuff, amount","A"
"237","b_243","Lopez, Baker and Roy","Juarezville","MT",2.5,216,"its","B"
"238","b_244","Kemp-Davis","Kennethhaven","ID",1.1,484,"red","A"
"239","b_245","Bryan, Gardner and Garcia","Lancefort","NY",4.7,442,"spring","B"
"240","b_246","Gallegos, Clark and Myers","","WI",2.7,320,"away, particular, cause","B"
"241","b_247","Thomas, Kaufman and Oliver","Andrewshire","HI",4.9,81,"challenge, represent, member",""
"243","b_249","","Cindybury","AK",4.4,450,"baby","B"
"247","b_253","Kaufman and Sons","Saraburgh","RI",2.3,82,"defense","A"
"248","b_254","Porter Group","Justinberg","NM",1.7,403,"indicate, professor, record","A"
"249","b_255","Glover and Sons","South Christystad","",3.2,366,"no","A"
"250","b_256","Zimmerman Inc","East Megan","ME",4.7,403,"pressure, view","A"
"252","b_259","Snow-Marshall","Rosariobury","WV",1.4,482,"material","A"
"253","b_261","Patterson, Stewart and Hahn","North Desiree","NH",5,447,"thing","B"
"254","b_262","Scott, Mcmillan and Chan","Lake Jennifer","OR",1.6,449,"affect, laugh, lead","B"
"257","b_265","Marshall-Green","West Brianbury","GA",4,96,"everything, which","A"
"258","b_266","Robles, Harris and Thomas","South Jessicashire","SD",3.8,368,"likely","A"
"259","b_267","Ross-Levy","Port Davidmouth","",3.8,192,"improve, example","A"
"260","b_268","Li, Harris and Ferguson","Millerfurt","VT",2.4,206,"unit, threat",""
"262","b_270","Ramos Group","Lauraburgh","IN",4.2,337,"him","B"
"263","b_271","Mcdonald-Miller","Michelleburgh","MN",4.2,474,"power","A"
"264","b_273","Smith-Davidson","Brandtchester","AK",4.7,127,"energy, manage","A"
"267","b_276","Smith-Sanders","Jamesmouth","ND",4.2,381,"inside, sense","B"
"268","b_277","Evans-Weeks","Lake Michael","TX",3.6,471,"test, seven","B"
"269","b_278","Johnson Inc","Port Danielborough","MA",3.8,91,"able, generation, have","A"
"272","b_281","Hurley-Sutton","Port Joseph","TN",2.4,472,"action, skill, raise","B"
"273","b_282","Parker and Sons","Byrdtown","IL",2.5,243,"after, a, process","A"
"277","b_286","Burns Inc","Port Derekland","MO",2.9,374,"very, ground, maybe","A"
"279","b_288","Miller LLC","East Richardshire","AL",2.1,281,"professor","A"
"282","b_291","Santos, Morris and Cline","Colestad","NM",1.1,222,"create","B"
"284","b_294","Turner-Garcia","Collinsville","SC",1.5,148,"happy","A"
"287","b_297","Stevens LLC","Garciaville","MI",1.9,404,"anything, dark","A"
"292","b_302","Oconnor PLC","Angelatown","FL",3.2,228,"gas, industry, run","B"
"293","b_304","Gonzalez, Davis and Adams","East Brittany","KY",3.9,199,"task","A"
"294","b_305","Riddle Group","Larsonview","SD",4.9,243,"great, rather, audience","B"
"296","b_307","Griffin Inc","Hallton","DC",2.3,241,"imagine","A"
"297","b_308","Harmon and Sons","Danielshire","AR",4.2,367,"door","B"
"298","b_309","Cabrera, Moore and Thompson","Deniseton","OH",2.1,487,"us","B"
"299","b_310","Flores-Flores","New Nancybury","NE",2.8,72,"base","A"
"300","b_311","Christian, Nelson and Williams","Arnoldberg","WA",1.3,444,"argue, today","B"
"302","b_313","Ellison-Bailey","North Williamberg","PA",4.9,246,"everything, stage","B"
"303","b_314","","South Anna","OK",4.3,42,"trouble","A"
"305","b_316","Murphy PLC","Clarkmouth","MT",2.6,69,"significant","A"
"306","b_317","Elliott LLC","Cliffordfort","AL",1.7,388,"against","B"
"310","b_321","Lee-Pierce","New Sierrafurt","KS",3.9,66,"game, war","B"
"314","b_325","Phillips, Lopez and Hoover","Loganmouth","MN",4,147,"answer, specific, star","A"
"316","b_327","Cruz Inc","Johnsonland","RI",3.4,223,"ago, exactly, indeed","B"
"317","b_328","Becker-Martinez","Flemingfort","IL",2.7,248,"southern, interesting, act","A"
"318","b_329","Jones LLC","Phillipsburgh","NM",2,294,"consider, score, bit","A"
"320","b_331","Myers-Baldwin","North Theresatown","CA",4,40,"tell","A"
"321","b_332","Thomas, Carroll and Bowman","Martinezland","SC",1.1,215,"","B"
"323","b_334","Palmer, Stevenson and Hodge","Riveramouth","NY",1.2,283,"","A"
"325","b_336","Allison LLC","Odomport","KY",4.4,368,"something, her, resource","A"
"326","b_337","Morrison-Singleton","East Carolynland","MO",3.8,56,"give, whether, official","B"
"328","b_339","Anderson LLC","Robertton","ID",1.4,139,"administration","B"
"330","b_341","Odonnell, Marshall and Riley","East Jason","CA",2.9,81,"use, partner","B"
"331","b_342","Riley LLC","South Chelseafort","AR",1.7,168,"play","B"
"332","b_343","Garcia, Butler and Powell","Jeffreyton","PA",2.7,401,"nice","B"
"333","b_344","Powers, Padilla and Henry","Mendezchester","KY",2.6,436,"seem, floor, then","A"
"334","b_345","Hill, Cooper and Waller","New Kennethmouth","WY",3.5,441,"friend, show","A"
"336","b_347","Galvan Group","New Brenda","NJ",1.2,31,"to, section, sense","B"
"338","b_349","Francis PLC","New Dennisland","WI",3.5,398,"provide","A"
"339","b_350","Gates-Johnson","Lake Robinton","CT",3,144,"ground, woman, wind","B"
"340","b_351","Clayton Inc","East Jennifer","MS",4.4,29,"sea","A"
"345","b_356","Barrett-Ramirez","East Shannonfort","OK",1.1,99,"team, voice, edge","B"
"350","b_361","Logan, Hunt and Herrera","Port Alyssa","IA",3.6,258,"book","B"
"352","b_363","Brooks LLC","Toddstad","KY",3.2,182,"several, any, total","B"
"353","b_364","Rivera, Mason and Martin","New Anthony","WA",4.8,366,"under","B"
"356","b_367","Porter Ltd","East Kennethport","SD",4.6,410,"decision, every","A"
"357","b_368","Beck-Mcguire","Smithville","TX",1.8,485,"particular, hotel, argue","B"
"358","b_369","Lambert LLC","New Linda","DE",1.3,393,"focus, increase, win","B"
"360","b_371","Martinez-Ritter","Hartmouth","OK",1.1,487,"market, these, move","A"
"365","b_377","Fuller, Nguyen and Gutierrez","Port Davidbury","NH",1.1,263,"late, happy","A"
"366","b_378","Park-Bell","","NH",4.3,257,"experience","B"
"367","b_379","Martinez-Mejia","Greenland","VA",2.1,443,"join, way","A"
"371","b_383","Jackson and Sons","New Lisa","PA",4.5,36,"democratic, call, better","B"
"372","b_384","Russell, Marsh and Shea","Jonesmouth","MA",3.9,471,"writer, rise","B"
"373","b_385","Evans-Mcbride","New Cindymouth","PA",4.2,68,"scientist, agree","B"
"374","b_386","Schroeder-Khan","South Jennifermouth","OR",2.1,156,"medical, realize","B"
"376","b_388","Christensen Ltd","Sandersstad","MD",4,495,"benefit","B"
"377","b_389","Barajas, Hale and Melton","Kellymouth","GA",4.2,469,"possible, practice","B"
"378","b_390","Ellis, Jordan and Ramirez","East Christopherhaven","HI",5,396,"strategy, down, result","B"
"380","b_392","Buck-Benson","Tammychester","MT",2.5,137,"recently","B"
"381","b_393","Ferguson Group","Phillipbury","MT",4.1,385,"these","B"
"384","b_396","Frank-Patel","Port Robertberg","NH",4.4,378,"","B"
"389","b_401","Payne, Daniels and Murphy","Simsstad","KS",4.6,32,"trade","A"
"390","b_402","Rodriguez Group","South John","IN",3,20,"season, reduce","A"
"392","b_404","Anderson-Fuller","New Gregory","ID",2.3,478,"responsibility","B"
"395","b_407","Jones, Ray and Cruz","East Randytown","ME",1,112,"manager, for, shoulder","B"
"399","b_411","Harrington, Wise and Webb","New Lindsaychester","",4.8,181,"represent, store, build","B"
"400","b_412","Guzman LLC","","MT",4.8,265,"none","B"
"404","b_416","Chavez-Palmer","Port Susanchester","OK",2.2,123,"brother, world, after","A"
"405","b_417","Mercer Group","","NY",2.3,32,"environmental","B"
"406","b_418","Lewis, Rodriguez and Hatfield","Lewisstad","OH",3.7,367,"measure","A"
"407","b_419","Solis, Fisher and Brown","Lucaston","ID",4,323,"phone, painting","B"
"409","b_422","Cooper-Alvarez","Diazmouth","MN",1.4,382,"book, bed, describe","A"
"410","b_423","Williams, Wolfe and Robinson","Colemanside","AZ",3,453,"rate, open, recent","A"
"411","b_424","Lester LLC","Glennland","ND",1.2,145,"the","A"
"413","b_426","Cross-Vasquez","New Rebecca","AZ",2.8,204,"message, so","A"
"414","b_427","Martinez, Richmond and Davis","Port Gavin","LA",4.6,267,"mind, practice, responsibility","A"
"416","b_429","Davis, Good and Rose","South John","IA",1.5,79,"total, some, accept",""
"417","b_430","Mullins Ltd","Alvarezmouth","ND",1.6,368,"nearly, soldier","B"
"419","b_432","Martinez, Huerta and Peterson","West Matthewside","SD",3.5,45,"daughter, other, sport",""
"421","b_434","Wells and Sons","New Luisburgh","MA",1.3,33,"in, perhaps","A"
"424","b_438","Lewis-Hart","East Sabrina","ID",3.8,348,"recognize","A"
"430","b_444","Stephens-Davidson","Santiagotown","VA",4.3,90,"cell","B"
"431","b_445","White Inc","West Davidburgh","OK",4.8,416,"forget, happy","A"
"432","b_446","Shaw, Underwood and Garcia","Paulaton","ND",4.9,339,"area",""
"434","b_448","Heath and Sons","Jenniferport","HI",2.5,295,"work, audience","B"
"436","b_450","Hall-Miller","Port Michelleborough","MO",4.1,291,"standard, during, again","A"
"437","b_451","Smith-Williams","South Natalie","MO",3.2,483,"","A"
"440","b_454","Davis, Castillo and Austin","Lake Nicole","MD",1.4,285,"yes, best","B"
"442","b_456","Williams Inc","Figueroamouth","IL",1,65,"program","B"
"443","b_457","Park-Hernandez","Gregville","NM",2.9,182,"risk","B"
"444","b_458","Rivera-Brown","Jonesside","KS",1.2,461,"try","A"
"446","b_460","Rodriguez-Wong","South Janet","NM",1.5,213,"billion","B"
"447","b_461","White, Brewer and Gray","East Davidbury","SD",3.6,354,"week, second, so","A"
"450","b_464","Jordan PLC","Lancemouth","NC",4.8,275,"set, subject, resource","A"
"453","b_467","Williams, Wells and Robles","Haynesfurt","ME",4.5,33,"cost, game","A"
"454","b_468","Larsen, Carroll and Lewis","Sullivanstad","MI",1.9,203,"training","B"
"455","b_469","Guerra, Rivas and Whitaker","West Luiston","WY",4.9,105,"possible","A"
"457","b_471","Collins, Kane and Liu","East Richardfort","NJ",4.9,454,"indeed, dream","A"
"458","b_472","Hudson Ltd","Lake Thomas","AR",1.2,272,"table","B"
"459","b_474","Miles-Jennings","Lake Rachelborough","AK",3.1,252,"all","B"
"460","b_475","Baker, Petersen and Thompson","Michaelfort","NV",5,392,"career, whatever, institution",""
"461","b_476","Collins-Smith","East Heather","RI",1.3,47,"along","B"
"464","b_479","White-Reynolds","Melanieland","MS",3.1,386,"song, beautiful","A"
"467","b_482","Thompson, Jackson and Silva","Lake Kyle","DC",2.8,101,"","B"
"468","b_483","Ferguson, Hill and Zamora","Josephhaven","IN",3.5,63,"","A"
"469","b_484","Myers, Perry and Davis","West Maureen","CA",3.3,168,"establish","B"
"472","b_488","Banks PLC","West Thomasbury","OH",4.8,381,"tend, buy","A"
"473","b_489","Quinn, Jones and Montes","South Heatherberg","GA",4.6,385,"attorney","B"
"474","b_490","Sanchez-Horton","Mooreton","AR",2.8,50,"western","B"
"476","b_492","Graham and Sons","Pamelashire","TN",2.1,134,"quickly, each","B"
"477","b_493","Reynolds-Mercer","Michaelmouth","MS",1.8,431,"likely, whom","B"
"478","b_494","Ramos, Cox and Harrington","East Catherinechester","CT",2.9,188,"approach, environment, officer","B"
"479","b_495","Richardson, Simon and Thompson","Lake Timothyborough","FL",2.4,341,"","B"
"480","b_496","Mann, Smith and Cardenas","Gutierrezborough","NV",3.3,46,"gas","A"
"481","b_497","Jones-Hickman","Woodmouth","AZ",1.3,110,"peace, tree","B"
"482","b_498","Dean, Brown and Hayes","Port Joshuatown","IA",4.9,40,"ever","B"
"483","b_499","Odom Ltd","Shawmouth","RI",4.9,199,"your, study, third","A"
"484","b_500","Young, Lewis and Roberts","Roseborough","WI",3.8,155,"dark","B"
"486","b_502","Hooper-Lopez","Karentown","NE",2.2,15,"now","A"
"491","b_508","Gonzales-Villa","Lake Michele","UT",4.8,129,"thousand, because","A"
"492","b_509","Barajas-Cervantes","","PA",3.9,395,"main","B"
"495","b_512","Drake, Hammond and Garcia","South Clarence","TX",4.7,375,"area, we, series","B"
"496","b_513","Bennett Ltd","Jonathanburgh","WI",4.5,386,"risk","B"
"497","b_514","Smith-Graves","New David","SC",1.2,188,"network, rise","B"
"499","b_516","Mcknight LLC","Lisaside","MN",2.5,334,"hand, question","A"
"500","b_517","Johnson-Johnson","New Stephanieborough","HI",4.2,416,"traditional","A"
"502","b_519","Hunter Group","Josemouth","VA",1.6,16,"weight, market","A"
"503","b_520","Johnson Ltd","West Tannershire","UT",3.4,393,"visit, blood, on","B"
"504","b_521","Wright Group","New Kellyburgh","PA",2.5,321,"home, list, stop","A"
"506","b_524","Johnson, Johnson and Schaefer","South Amy","NC",4.4,243,"last, condition, those","A"
"511","b_529","Fischer PLC","Lake Lisa","KS",4.5,280,"employee","B"
"513","b_531","Dunn, Campbell and Santiago","","OK",5,436,"class, myself","B"
"515","b_533","Hodge-Johnson","West Jamie","PA",3.2,478,"after","B"
"516","b_534","Warner-Graham","Myersport","ND",4.1,129,"itself, better, perform","A"
"517","b_535","Bernard Ltd","North Michaelhaven","CO",4.8,44,"case, likely","B"
"519","b_537","Reed, Lee and Glover","Lake Tammymouth","AK",2,279,"attack, fire, fire","B"
"520","b_538","Fitzgerald Inc","New Yolanda","CA",2.8,102,"ready, happy","B"
"521","b_540","Marsh-Williams","Salazarport","",4.8,387,"measure, pick, figure","A"
"523","b_542","Hernandez-Burgess","Jasonmouth","VA",1.9,283,"religious","B"
"524","b_543","Ford-Morgan","Robertoberg","MO",3.7,188,"skill, bar","B"
"525","b_544","Riley and Sons","Harrisfurt","IL",3.5,138,"road, network, relationship","B"
"528","b_547","Guzman, Newton and Stevens","New Jerry","MO",3.7,73,"people","B"
"529","b_549","Luna, Singh and Davis","Scottstad","IN",4.1,228,"even, thousand","B"
"530","b_550","Donovan, Sullivan and Gonzalez","New Suzanneland","NC",3.1,226,"like","B"
"531","b_551","Cowan-Riley","West Matthewfurt","PA",4.4,178,"director, wife, product","A"
"532","b_552","Olson, Cunningham and Weaver","","NH",3.2,158,"reach, record, strong","B"
"534","b_554","Bailey Group","New Jacobshire","",4.5,125,"remain, commercial, hope","B"
"535","b_555","Williams, Cunningham and Brooks","Derrickton","CT",2.6,254,"they, finish, foot","B"
"536","b_556","Long Group","Alexanderside","PA",1.5,157,"return, party, player","B"
"537","b_557","Hebert-Martin","Lake Adamhaven","NJ",1.1,101,"send, prevent, ball","B"
"538","b_558","Barnett Ltd","Roseshire","DC",4,94,"add","B"
"539","b_559","Fisher, Oliver and Jones","Allenshire","LA",3.5,96,"hit, far","A"
"543","b_564","Lee, Jones and Jackson","Lake Bruceborough","CO",2.4,33,"word, travel, group","A"
"545","b_566","Huff and Sons","Parkerhaven","OR",2.6,98,"debate, someone, weight","A"
"546","b_567","Flores-Gray","Lake Travismouth","GA",2.7,46,"people","A"
"548","b_569","Greene-Cook","Markburgh","SD",2.4,392,"view, sign","A"
"550","b_571","Herman, Taylor and Mueller","East Patriciaburgh","TN",4.1,280,"sister, decide","B"
"552","b_573","Ford, Maldonado and Saunders","Valenciaton","SC",3.5,104,"maybe, even","A"
"554","b_575","Mosley, Stuart and Douglas","North Cassandrashire","OH",4.8,40,"wall, history","A"
"558","b_579","Daniel, Mcgee and Patterson","East Judyfort","WI",2,349,"top","B"
"562","b_584","Mcconnell, Vargas and Ellison","Hamptonhaven","WV",3.5,30,"give, person, need","A"
"565","b_587","Hill and Sons","Lake Josephtown","WV",1.5,328,"happy, report, door","B"
"566","b_588","Underwood and Sons","Lake Brett","VT",1.5,357,"organization, eye, teacher","B"
"569","b_591","Pacheco, Brooks and Young","Christopherfurt","LA",3.6,21,"finish, drive, TV","A"
